work_id,doi,ano,primeiro_autor,author_id,genero_primeiro_autor,primeiro_autor_no_brasil,paises_primeiro_autor
W3191412664,10.1111/jbi.14214,2021,Juan P. Quimbayo,A5027359361,MASCULINO,True,BR
W3049712510,10.1111/mec.15594,2020,Carla Martins Lopes,A5039524478,FEMININO,True,BR
W2884054653,10.1111/nyas.13927,2018,Rosmeri Porfírio da Rocha,A5057726556,FEMININO,True,BR
W4403315564,10.1016/j.marpol.2024.106418,2024,Jen McRuer,A5111361567,MASCULINO,False,
W4232441078,10.1371/journal.pone.0213519,2019,Mariana M. Teschima,A5065778371,FEMININO,True,BR
W2889794119,10.1016/j.scitotenv.2018.09.154,2018,Joseane Aparecida Marques,A5068573177,FEMININO,True,BR
W2985560916,10.1002/jobm.201900394,2019,Gustavo Vasconcelos Bastos Paulino,A5021716989,MASCULINO,True,BR
W4322729471,10.1016/j.scitotenv.2023.162468,2023,Victor Vasques Ribeiro,A5002651709,MASCULINO,True,BR
W4386569261,10.1016/j.envpol.2023.122509,2023,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;DE;VI
W3094079904,10.1016/j.envpol.2020.115911,2020,Clarissa Naveira,A5052207519,FEMININO,True,BR
W3008835630,10.1016/j.marpol.2020.103879,2020,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;ES;IT
W3188781083,10.1016/j.marpol.2021.104699,2021,Maurice G. Estes,A5062611075,INDEFINIDO,False,US
W4324304765,10.1111/cobi.14087,2023,Lilian Patrícia Sales,A5071858466,FEMININO,True,BR;CA
W4290964064,10.1016/j.marpolbul.2022.114031,2022,Fernanda Avelar Santos,A5026459190,FEMININO,True,BR
W2794041017,10.1016/j.marenvres.2018.02.011,2018,José Anchieta C. C. Nunes,A5070338541,MASCULINO,True,BR
W4210772671,10.1016/j.ocecoaman.2022.106047,2022,Carmen Edith Pazoto,A5024941762,FEMININO,True,BR
W4281263740,10.1016/j.marenvres.2022.105662,2022,Henrique D. S. Borburema,A5016944169,MASCULINO,True,BR
W3111740704,10.3389/fmars.2020.590258,2020,Kalina Manabe Brauko,A5061853999,FEMININO,True,BR
W3198657913,10.11646/zootaxa.5031.1.1,2021,Diana Ugalde,A5026752354,FEMININO,False,MX
W3082990594,10.1016/j.envpol.2020.115508,2020,J. Gabriel B. Neto,A5062558332,INDEFINIDO,True,BR
W2792738843,10.1007/s10584-018-2144-z,2018,Ivan Machado Martins,A5063792252,MASCULINO,True,BR
W2991133277,10.1093/icesjms/fsz197,2019,Daniel Vilas,A5010803533,MASCULINO,False,ES;US
W3082075755,10.1016/j.marenvres.2020.105129,2020,Talita Motta Beneli,A5021109798,FEMININO,True,BR
W2954375023,10.1093/nsr/nwz084,2019,Zhimin Jian,A5112419960,INDEFINIDO,False,CN
W3119072657,10.7717/peerj.9616,2021,Paola Fajardo,A5071430270,FEMININO,False,CA
W4386573680,10.1016/j.marenvres.2023.106167,2023,Letícia Peres,A5090289478,FEMININO,True,BR
W3209043982,10.1016/j.scitotenv.2021.151340,2021,Patrícia Gomes Costa,A5054752650,FEMININO,True,BR
W2947666795,10.3989/scimar.04855.25a,2019,Valdimere Ferreira,A5103043517,FEMININO,True,BR
