author_id,nome,primeiro_nome,genero,proporcao,prop_feminina_ibge,freq_ibge,motivo,paises,obras
A5074233729,Melina de Souza Leite,MELINA,FEMININO,0.9968,0.9968,7293,IBGE,BR,1
A5061578416,António Mauro Saraiva,ANTONIO,MASCULINO,0.9966,0.0034,2576348,IBGE,BR,1
A5055365855,Jean Paul Metzger,JEAN,MASCULINO,0.9883,0.0117,160076,IBGE,BR,2
A5046026367,Gabriela Cristina Souza,GABRIELA,FEMININO,0.9926,0.9926,381650,IBGE,BR,1
A5066580995,José Eduardo Calcinoni,JOSE,MASCULINO,0.9962,0.0038,5754529,IBGE,BR,2
A5052039893,Fabrício Murilo Beker,FABRICIO,MASCULINO,0.9928,0.0072,167879,IBGE,BR,1
A5101378993,Francisco José Reyes Sánchez,FRANCISCO,MASCULINO,0.9961,0.0039,1772197,IBGE,BR,1
A5102688200,Marco Aurélio Andrete Santos,MARCO,MASCULINO,0.9960,0.0040,208076,IBGE,BR,1
A5099128429,Thadeu dos Santos Viana,THADEU,MASCULINO,1.0000,0.0000,955,IBGE,BR,1
A5104327631,Josiane Aparecida Gomes Figueiredo,JOSIANE,FEMININO,0.9952,0.9952,136874,IBGE,BR,1
A5072001436,Marina Baptista,MARINA,FEMININO,0.9963,0.9963,208542,IBGE,BR,1
